<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.17,0.386,0.379,0.123,0.12,0.085,0.049,0.05,0.051,0.05,0.048,0.049
B,0.161,0.261,0.269,0.103,0.104,0.082,0.049,0.05,0.051,0.053,0.051,0.049
C,0.178,0.137,0.157,0.09,0.106,0.082,0.049,0.05,0.051,0.051,0.05,0.049
D,0.181,0.153,0.167,0.1,0.105,0.086,0.05,0.05,0.051,0.05,0.05,0.049
E,0.191,0.358,0.47,0.156,0.168,0.102,0.049,0.05,0.051,0.05,0.049,0.05
F,0.11,0.08,0.099,0.081,0.085,0.082,0.05,0.05,0.051,0.05,0.049,0.049
G,0.064,0.078,0.084,0.074,0.076,0.074,0.049,0.049,0.05,0.05,0.05,0.049
H,0.132,0.097,0.12,0.087,0.086,0.082,0.049,0.05,0.051,0.05,0.049,0.049
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.115,0.241,0.285,0.115,0.105,0.078,0.044,0.044,0.045,0.044,0.043,0.043
B,0.112,0.171,0.206,0.096,0.092,0.079,0.044,0.044,0.045,0.047,0.045,0.043
C,0.13,0.112,0.136,0.081,0.09,0.074,0.044,0.044,0.045,0.044,0.044,0.044
D,0.124,0.111,0.135,0.092,0.089,0.077,0.044,0.044,0.045,0.045,0.044,0.044
E,0.132,0.255,0.353,0.141,0.139,0.089,0.044,0.044,0.045,0.044,0.044,0.044
F,0.08,0.067,0.087,0.075,0.078,0.072,0.044,0.044,0.045,0.044,0.044,0.044
G,0.054,0.065,0.077,0.071,0.074,0.069,0.044,0.044,0.045,0.044,0.044,0.044
H,0.095,0.079,0.101,0.079,0.078,0.075,0.044,0.044,0.046,0.044,0.044,0.044
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.035,0.034,0.034,0.034,0.034,0.034,0.025,0.025,0.026,0.033,0.032,0.032
B,0.034,0.034,0.033,0.034,0.035,0.036,0.025,0.024,0.026,0.035,0.034,0.033
C,0.035,0.035,0.033,0.033,0.034,0.034,0.025,0.025,0.026,0.033,0.032,0.031
D,0.039,0.034,0.033,0.035,0.035,0.035,0.025,0.024,0.026,0.027,0.027,0.027
E,0.034,0.033,0.034,0.034,0.034,0.035,0.026,0.025,0.026,0.027,0.027,0.027
F,0.034,0.034,0.033,0.034,0.036,0.035,0.025,0.024,0.026,0.027,0.027,0.026
G,0.034,0.039,0.035,0.035,0.035,0.036,0.025,0.025,0.026,0.027,0.027,0.027
H,0.034,0.033,0.033,0.034,0.035,0.035,0.025,0.025,0.026,0.027,0.027,0.026
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.074,0.072,0.072,0.074,0.071,0.073,0.025,0.025,0.026,0.074,0.073,0.074
B,0.071,0.071,0.069,0.071,0.073,0.074,0.025,0.024,0.026,0.077,0.081,0.075
C,0.072,0.071,0.069,0.07,0.072,0.072,0.025,0.025,0.026,0.074,0.073,0.073
D,0.079,0.068,0.069,0.073,0.072,0.072,0.025,0.024,0.025,0.027,0.027,0.027
E,0.071,0.069,0.07,0.071,0.072,0.072,0.025,0.024,0.026,0.026,0.027,0.026
F,0.071,0.07,0.07,0.072,0.073,0.073,0.025,0.024,0.026,0.027,0.027,0.026
G,0.072,0.075,0.072,0.073,0.074,0.075,0.025,0.024,0.026,0.026,0.027,0.026
H,0.07,0.068,0.07,0.071,0.071,0.072,0.025,0.025,0.026,0.027,0.027,0.026
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.045,0.045,0.054,0.05,0.05,0.049,0.037,0.037,0.038,0.037,0.036,0.036
B,0.043,0.046,0.053,0.051,0.052,0.051,0.037,0.037,0.037,0.038,0.038,0.036
C,0.044,0.047,0.054,0.05,0.052,0.05,0.037,0.037,0.037,0.037,0.036,0.036
D,0.046,0.046,0.053,0.052,0.052,0.05,0.037,0.037,0.038,0.037,0.037,0.037
E,0.043,0.048,0.058,0.051,0.052,0.05,0.037,0.037,0.037,0.037,0.037,0.037
F,0.042,0.043,0.052,0.051,0.053,0.051,0.037,0.037,0.038,0.037,0.037,0.037
G,0.041,0.046,0.051,0.05,0.051,0.05,0.037,0.037,0.037,0.037,0.037,0.037
H,0.045,0.044,0.053,0.051,0.052,0.052,0.037,0.037,0.038,0.037,0.037,0.037
